Trace
Log Plot
A.29.04,N9000B
513 EP4 P13 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,3
Average State,True
Cancellation,False
Carrier Frequency,10000000
Electrical Atten,0
Electrical Atten State,False
EnablePMRejection,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
FilteStateArray,False,False,False,False,False,False
HighCutoffFrequencyArray,1000000,1000000,1000000,1000000,1000000,1000000
HighCutoffSlopeArray,0,0,0,0,0,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
LowCutoffFrequencyArray,100,100,100,100,100,100
LowCutoffSlopeArray,0,0,0,0,0,0
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,0
Start Offset,1
Stop Offset,10000000
Threshold,0.01
Trace Hold State,None,None,None,None,None,None
Trace Type,Raw,Raw,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
Trace Name,Trace1
DATA,
1,-44.0710814133922
1.0272275691833,-44.0430099859831
1.05519647889024,-46.9646371023685
1.0839269140212,-43.5583486750397
1.11343960906236,-44.7382381053087
1.14375586304954,-41.7630162685354
1.17489755493953,-43.1387341371306
1.20688715939994,-45.5614037620959
1.23974776302894,-47.043294914135
1.27350308101666,-46.2128741697604
1.30817747426019,-46.5020791333849
1.34379596694465,-47.9418244773641
1.38038426460288,-51.1604659668354
1.4179687726669,-45.4735550211968
1.45657661552446,-44.141336332966
1.49623565609443,-51.2414283493952
1.53697451593527,-50.1984397535029
1.57882259590087,-50.0979193696868
1.62181009735893,-47.635354813121
1.66596804398695,-48.3473034785154
1.71132830416178,-48.5837768509446
1.75792361395869,-51.5434538433308
1.80578760077672,-49.5477323083101
1.85495480760722,-50.993714472477
1.90546071796325,-52.2337205373615
1.95734178148766,-52.5259852451639
2.01063544025849,-50.4296455151703
2.06538015581053,-51.3622116857615
2.12161543689268,-51.2865591852714
2.17938186798105,-53.3947124680594
2.23872113856834,-51.6132998855755
2.29967607325084,-55.0942252829547
2.36229066263446,-52.2010454476522
2.42661009508242,-55.8749743007422
2.49268078932718,-56.4326871898356
2.56055042797048,-53.5367501354835
2.63026799189538,-55.3207530497356
2.70188379561534,-56.0317597025462
2.77544952358571,-56.0180508980888
2.85101826750391,-57.7796738167444
2.92864456462524,-56.9747694487885
3.00838443712188,-56.8788168721849
3.09029543251359,-56.0918930065892
3.1744366651992,-58.021166283791
3.26086885911893,-57.380957729401
3.34965439157828,-59.914762632534
3.44085733826513,-59.1602346242846
3.53454351949263,-57.1029353706252
3.63078054770101,-59.7537322886412
3.72963787625294,-59.6456679430063
3.83118684955729,-60.8456663025556
3.93550075455778,-61.3203578243162
4.04265487362344,-60.823429201169
4.15272653887925,-60.4382374174974
4.26579518801593,-62.7538215626443
4.38194242161944,-60.7733097100077
4.50125206206134,-61.8936004465169
4.6238102139926,-63.9042238078947
4.74970532648456,-61.6456447636374
4.87902825686172,-65.0642933436304
5.01187233627272,-62.4811275830963
5.14833343704648,-62.3104265758877
5.28851004188238,-64.1776228033466
5.43250331492433,-62.4126280181153
5.58041717476997,-65.3515491430931
5.73235836946771,-63.3141722130434
5.88843655355589,-63.2728678786753
6.04876436719933,-64.0688073341771
6.21345751748076,-66.0803227316839
6.38263486190549,-62.8191216958715
6.55641849417979,-64.9863724553688
6.73493383232477,-68.1762709896612
6.91830970918936,-66.6354734197342
7.10667846542785,-64.3051395232673
7.30017604500878,-65.5461418444311
7.49894209332456,-69.3003473602284
7.70312005797215,-67.4417768244524
7.91285729227788,-67.216469995547
8.12830516164099,-66.5124024544706
8.34961915277258,-68.7924966146957
8.57695898590894,-67.7339149273909
8.81048873008014,-69.8733396261328
9.05037692151712,-66.4557049325422
9.29679668528271,-65.3609571544244
9.54992586021436,-67.800705010439
9.80994712726877,-65.9564176064018
10.077048141361,-68.5104024216554
10.3514216667934,-66.5040426932515
10.6332657163716,-64.2969634176373
10.9227836943086,-64.7558165993262
11.2201845430196,-63.9334288719219
11.5256828939141,-63.0740163825547
11.839499222293,-61.1279761014053
12.1618600064637,-61.317145329853
12.4929978911873,-61.8964475775185
12.8331518555765,-61.3956080804615
13.1825673855641,-61.4826970802309
13.5414966510681,-62.7340475797837
13.9101986879805,-58.4913324509362
14.288939585111,-54.8493623782565
14.6779926762207,-46.6365606738491
15.0776387372845,-46.407857297839
15.4881661891248,-47.0101017239324
15.9098713055617,-47.3920380643639
16.3430584272314,-48.9009231250108
16.7880401812256,-46.1650922377786
17.245137706712,-46.6126294725939
17.7146808866971,-44.2591163407414
18.1970085860998,-42.8573731359701
18.6924688963071,-39.7403239426626
19.201419386388,-40.0406634744622
19.7242273611485,-40.4868637345678
20.2612701262114,-42.0799672549139
20.8129352603145,-40.6491304326057
21.3796208950223,-40.306014447684
21.9617360020544,-47.3747424597001
22.5597006884358,-48.6751641626472
23.1739464996848,-51.0141793826021
23.8049167312551,-52.6006886846666
24.4530667484582,-52.2733906418499
25.1188643150958,-54.9042227804576
25.8027899310411,-55.7910909391829
26.5053371790108,-56.1376574603025
27.2270130807791,-56.7764161499841
27.9683384630908,-58.7701859188096
28.7298483335367,-59.0922582069481
29.5120922666639,-58.3735675267297
30.3156348005985,-59.6246924391045
31.1410558444676,-61.1562325771247
31.988951096914,-58.8495951556882
32.8599324760065,-61.0788949138195
33.7546285608557,-55.6999676616138
34.6736850452532,-62.910683119107
35.6177652036629,-66.7489461625289
36.5875503699003,-65.7712532463209
37.5837404288444,-66.6530181454605
38.6070543215381,-66.6501565617334
39.6582305640414,-65.8724321029242
40.7380277804113,-65.0010664557988
41.8472252501938,-68.3052333059398
42.9866234708228,-68.7819600223692
44.1570447353312,-67.171902050613
45.3593337257927,-68.4135695369407
46.5943581229204,-68.7024495061834
47.8630092322638,-68.0540660961231
49.1662026274564,-65.2721846488401
50.5048788109759,-65.1146656677275
51.8800038928961,-63.7324235000782
53.29257028812,-68.6342827887309
54.7435974325959,-71.7556226449841
56.2341325190349,-73.5480160503062
57.76525125266,-75.1074505363604
59.3380586275328,-77.9495333114347
60.9536897240169,-79.424186670578
62.6133105279552,-80.1440069809476
64.3181187721509,-78.2577438245702
66.0693448007596,-79.7496415147961
67.8682524572179,-81.3239513391891
69.7161399963467,-80.0439919987581
71.6143410212902,-80.4558471281318
73.5642254459641,-80.7611368043212
75.5672004837103,-79.3973656420123
77.6247116628692,-82.6976449280522
79.738243870004,-84.468929229615
81.9093224215297,-81.2898435403932
84.1395141645195,-79.8109445125206
86.4304286074836,-81.1987797081907
88.7837190819365,-81.3062608392349
91.201083935591,-80.3605557340628
93.6842677580396,-79.2347505252215
96.2350626398088,-80.5207062550002
98.8553094656938,-76.0778268905749
101.546899243308,-72.9544324383678
104.311774467805,-75.6194063566278
107.151930523761,-77.5826471327129
110.069417125221,-77.2873966237468
113.066339794964,-76.1835511942815
116.144861384034,-78.6819839271295
119.307203632653,-77.8960637386166
122.555648773628,-76.5906895526266
125.892541179417,-74.7817425073305
129.320289054041,-79.3538802998894
