sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
Voltage Set;0,0000000000;V
Voltage Min;0,0000000000;V
Voltage Max;16,0000000000;V
Voltage Meas;0,0311633624;V
Current Max;2000,0000000000;mA
Current Meas;-0,2862476665;mA
VTune;OFF;
Voltage Set;0,0000000000;V
Voltage Min;-10,0000000000;V
Voltage Max;28,0000000000;V
Voltage Meas;0,0021310096;V
Current Max;20,0000000000;mA
Current Meas;0,1891890895;mA
VAux;OFF;
Voltage Set;0,0000000000;V
Voltage Min;-10,0000000000;V
Voltage Max;10,0000000000;V
Voltage Meas;-0,0036799015;V
Current Max;100,0000000000;mA
Current Meas;0,0049411430;mA
Mode;Phase Noise;
Measurement;Phase Noise;
Input;RF;
RF Att;0,0000000000;dB
Coupling;AC;
RBW;2,0000000000;%
XCORR Factor;10000;
XCORR Optimize;ON;
Estimated Meas Time;250,2416280031;s
Sweep Count;0;
Signal Frequency;10000377978,5314884186;Hz
Signal Level;-3,2363000000;dBm
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
SubSweep;1;
Start;300,0000000000;Hz
Stop;1000,0000000000;Hz
RBW;20,0000000000;Hz
XCORR Count;10000;
SubSweep;2;
Start;1000,0000000000;Hz
Stop;3000,0000000000;Hz
RBW;20,0000000000;Hz
XCORR Count;10000;
SubSweep;3;
Start;3000,0000000000;Hz
Stop;10000,0000000000;Hz
RBW;60,0000000000;Hz
XCORR Count;30000;
SubSweep;4;
Start;10000,0000000000;Hz
Stop;30000,0000000000;Hz
RBW;200,0000000000;Hz
XCORR Count;100000;
SubSweep;5;
Start;30000,0000000000;Hz
Stop;100000,0000000000;Hz
RBW;600,0000000000;Hz
XCORR Count;300000;
SubSweep;6;
Start;100000,0000000000;Hz
Stop;300000,0000000000;Hz
RBW;2000,0000000000;Hz
XCORR Count;1000000;
SubSweep;7;
Start;300000,0000000000;Hz
Stop;1000000,0000000000;Hz
RBW;6000,0000000000;Hz
XCORR Count;3000000;
Integrated Measurements Range;1;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;2;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;3;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;4;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;5;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;6;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;7;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;8;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;9;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;10;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Spot Noise Decade Edges;ON;
Spot Noise User Defined;ON;
Spot Noise User Defined Offset;1;
State;ON;
Offset;1000,0000000000;Hz
Spot Noise User Defined Offset;2;
State;ON;
Offset;10000,0000000000;Hz
Spot Noise User Defined Offset;3;
State;ON;
Offset;100000,0000000000;Hz
Spot Noise User Defined Offset;4;
State;ON;
Offset;1000000,0000000000;Hz
Spot Noise User Defined Offset;5;
State;ON;
Offset;10000000,0000000000;Hz
Spot Noise User Defined Offset;6;
State;ON;
Offset;100000000,0000000000;Hz
Window;1;Noise Spectrum;
Trace;1;
Trace Mode;CLR/WRITE;
Trace Result;PN;
Smoothing;ON;
Smoothing Value;1,0000000000;%
Spurious Removal;ON;
Spurious Removal Threshold;6,0000000000;dB
Trace Offset;OFF;
Trace Offset;0,0000000000;dB
Trace Label;OFF;
Trace Label;Trace 1;
x-Unit;Hz;
y-Unit;dBc/Hz;
Values;3523;
300,6075744629;-122,5500946045;
301,3006591797;-122,6599960327;
301,9951782227;-122,6599960327;
302,6913146973;-122,6599960327;
303,3891906738;-122,6599960327;
304,0885314941;-122,6599960327;
304,7894897461;-122,6599960327;
305,4920349121;-122,6599960327;
306,1963806152;-122,6599960327;
306,9021911621;-122,6599960327;
307,6096191406;-122,6599960327;
308,3188476563;-122,6599960327;
309,0295410156;-122,6599960327;
309,7418823242;-122,6599960327;
310,4560241699;-122,6599960327;
311,1716613770;-122,6599960327;
311,8889160156;-122,6599960327;
312,6078491211;-122,6599960327;
313,3286132813;-122,6599960327;
314,0508422852;-122,5396270752;
314,7747497559;-122,5396270752;
315,5005187988;-122,5396270752;
316,2277526855;-122,5396270752;
316,9566955566;-122,5396270752;
317,6874694824;-122,5396270752;
318,4197692871;-122,5396270752;
319,1537475586;-122,5396270752;
319,8895874023;-122,5396270752;
320,6269531250;-122,5396270752;
321,3660278320;-122,5396270752;
322,1068115234;-122,5396270752;
322,8494567871;-122,5396270752;
323,5936584473;-122,5396270752;
324,3395690918;-122,5396270752;
325,0873718262;-122,5396270752;
325,8367004395;-122,5396270752;
326,5877990723;-122,5396270752;
327,3407592773;-122,5566024780;
328,0953063965;-122,5820083618;
328,8515930176;-122,6074142456;
329,6096191406;-122,6278381348;
330,3695678711;-122,6478424072;
331,1311035156;-122,6678390503;
331,8943786621;-122,6878433228;
332,6596069336;-122,7078399658;
333,4264221191;-122,7278442383;
334,1949768066;-122,7478408813;
334,9655151367;-122,7678451538;
335,7376403809;-122,7878417969;
336,5115356445;-122,8078384399;
