sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
Voltage Set;0,0000000000;V
Voltage Min;0,0000000000;V
Voltage Max;16,0000000000;V
Voltage Meas;0,0301043878;V
Current Max;2000,0000000000;mA
Current Meas;-0,2862476665;mA
VTune;OFF;
Voltage Set;0,0000000000;V
Voltage Min;-10,0000000000;V
Voltage Max;28,0000000000;V
Voltage Meas;0,0016801372;V
Current Max;20,0000000000;mA
Current Meas;0,1890679527;mA
VAux;OFF;
Voltage Set;0,0000000000;V
Voltage Min;-10,0000000000;V
Voltage Max;10,0000000000;V
Voltage Meas;-0,0027650291;V
Current Max;100,0000000000;mA
Current Meas;0,0217404176;mA
Mode;Phase Noise;
Measurement;Phase Noise;
Input;RF;
RF Att;0,0000000000;dB
Coupling;AC;
RBW;2,0000000000;%
XCORR Factor;10000;
XCORR Optimize;ON;
Estimated Meas Time;250,2416280031;s
Sweep Count;0;
Signal Frequency;10000377978,5314884186;Hz
Signal Level;-12,0661000000;dBm
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
SubSweep;1;
Start;300,0000000000;Hz
Stop;1000,0000000000;Hz
RBW;20,0000000000;Hz
XCORR Count;10000;
SubSweep;2;
Start;1000,0000000000;Hz
Stop;3000,0000000000;Hz
RBW;20,0000000000;Hz
XCORR Count;10000;
SubSweep;3;
Start;3000,0000000000;Hz
Stop;10000,0000000000;Hz
RBW;60,0000000000;Hz
XCORR Count;30000;
SubSweep;4;
Start;10000,0000000000;Hz
Stop;30000,0000000000;Hz
RBW;200,0000000000;Hz
XCORR Count;100000;
SubSweep;5;
Start;30000,0000000000;Hz
Stop;100000,0000000000;Hz
RBW;600,0000000000;Hz
XCORR Count;300000;
SubSweep;6;
Start;100000,0000000000;Hz
Stop;300000,0000000000;Hz
RBW;2000,0000000000;Hz
XCORR Count;1000000;
SubSweep;7;
Start;300000,0000000000;Hz
Stop;1000000,0000000000;Hz
RBW;6000,0000000000;Hz
XCORR Count;3000000;
Integrated Measurements Range;1;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;2;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;3;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;4;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;5;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;6;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;7;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;8;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;9;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;10;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Spot Noise Decade Edges;ON;
Spot Noise User Defined;ON;
Spot Noise User Defined Offset;1;
State;ON;
Offset;1000,0000000000;Hz
Spot Noise User Defined Offset;2;
State;ON;
Offset;10000,0000000000;Hz
Spot Noise User Defined Offset;3;
State;ON;
Offset;100000,0000000000;Hz
Spot Noise User Defined Offset;4;
State;ON;
Offset;1000000,0000000000;Hz
Spot Noise User Defined Offset;5;
State;ON;
Offset;10000000,0000000000;Hz
Spot Noise User Defined Offset;6;
State;ON;
Offset;100000000,0000000000;Hz
Window;1;Noise Spectrum;
Trace;1;
Trace Mode;CLR/WRITE;
Trace Result;PN;
Smoothing;ON;
Smoothing Value;1,0000000000;%
Spurious Removal;ON;
Spurious Removal Threshold;6,0000000000;dB
Trace Offset;OFF;
Trace Offset;0,0000000000;dB
Trace Label;OFF;
Trace Label;Trace 1;
x-Unit;Hz;
y-Unit;dBc/Hz;
Values;3523;
300,6075744629;-122,5012664795;
301,3006591797;-122,5012664795;
301,9951782227;-122,5012664795;
302,6913146973;-122,5012664795;
303,3891906738;-122,5012664795;
304,0885314941;-122,5811386108;
304,7894897461;-122,5859298706;
305,4920349121;-122,5863952637;
306,1963806152;-122,5907287598;
306,9021911621;-122,5955276489;
307,6096191406;-122,6003189087;
308,3188476563;-122,6165847778;
309,0295410156;-122,6417007446;
309,7418823242;-122,6542663574;
310,4560241699;-122,6668090820;
311,1716613770;-122,6715240479;
311,8889160156;-122,6919174194;
312,6078491211;-122,7170333862;
313,3286132813;-122,7472305298;
314,0508422852;-122,7480163574;
314,7747497559;-122,7490768433;
315,5005187988;-122,7775878906;
316,2277526855;-122,8079528809;
316,9566955566;-122,8173828125;
317,6874694824;-122,8383178711;
318,4197692871;-122,8417739868;
319,1537475586;-122,8643112183;
319,8895874023;-122,8643112183;
320,6269531250;-122,8643112183;
321,3660278320;-122,8643112183;
322,1068115234;-122,8643112183;
322,8494567871;-122,8643112183;
323,5936584473;-122,8643112183;
324,3395690918;-122,8643112183;
325,0873718262;-122,8643112183;
325,8367004395;-122,8643112183;
326,5877990723;-122,8843078613;
327,3407592773;-122,9043121338;
328,0953063965;-122,9243087769;
328,8515930176;-122,9443054199;
329,6096191406;-122,9643020630;
330,3695678711;-122,9843063354;
331,1311035156;-123,0043029785;
331,8943786621;-123,0242996216;
332,6596069336;-123,0443038940;
333,4264221191;-123,0643005371;
334,1949768066;-123,0842971802;
334,9655151367;-123,1043014526;
335,7376403809;-123,1242980957;
336,5115356445;-123,1443023682;
