sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
Voltage Set;0,0000000000;V
Voltage Min;0,0000000000;V
Voltage Max;16,0000000000;V
Voltage Meas;0,0316101174;V
Current Max;2000,0000000000;mA
Current Meas;-0,2862476665;mA
VTune;OFF;
Voltage Set;0,0000000000;V
Voltage Min;-10,0000000000;V
Voltage Max;28,0000000000;V
Voltage Meas;0,0023212214;V
Current Max;20,0000000000;mA
Current Meas;0,1838570637;mA
VAux;OFF;
Voltage Set;0,0000000000;V
Voltage Min;-10,0000000000;V
Voltage Max;10,0000000000;V
Voltage Meas;-0,0015524584;V
Current Max;100,0000000000;mA
Current Meas;0,0204171259;mA
Mode;Phase Noise;
Measurement;Phase Noise;
Input;RF;
RF Att;0,0000000000;dB
Coupling;AC;
RBW;2,0000000000;%
XCORR Factor;10000;
XCORR Optimize;ON;
Estimated Meas Time;250,2416280031;s
Sweep Count;0;
Signal Frequency;10000377978,5314884186;Hz
Signal Level;-5,1915000000;dBm
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
SubSweep;1;
Start;300,0000000000;Hz
Stop;1000,0000000000;Hz
RBW;20,0000000000;Hz
XCORR Count;10000;
SubSweep;2;
Start;1000,0000000000;Hz
Stop;3000,0000000000;Hz
RBW;20,0000000000;Hz
XCORR Count;10000;
SubSweep;3;
Start;3000,0000000000;Hz
Stop;10000,0000000000;Hz
RBW;60,0000000000;Hz
XCORR Count;30000;
SubSweep;4;
Start;10000,0000000000;Hz
Stop;30000,0000000000;Hz
RBW;200,0000000000;Hz
XCORR Count;100000;
SubSweep;5;
Start;30000,0000000000;Hz
Stop;100000,0000000000;Hz
RBW;600,0000000000;Hz
XCORR Count;300000;
SubSweep;6;
Start;100000,0000000000;Hz
Stop;300000,0000000000;Hz
RBW;2000,0000000000;Hz
XCORR Count;1000000;
SubSweep;7;
Start;300000,0000000000;Hz
Stop;1000000,0000000000;Hz
RBW;6000,0000000000;Hz
XCORR Count;3000000;
Integrated Measurements Range;1;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;2;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;3;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;4;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;5;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;6;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;7;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;8;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;9;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;10;
Start;300,0000000000;Hz
Stop;1000000,0000000000;Hz
Weighting;OFF;
Spot Noise Decade Edges;ON;
Spot Noise User Defined;ON;
Spot Noise User Defined Offset;1;
State;ON;
Offset;1000,0000000000;Hz
Spot Noise User Defined Offset;2;
State;ON;
Offset;10000,0000000000;Hz
Spot Noise User Defined Offset;3;
State;ON;
Offset;100000,0000000000;Hz
Spot Noise User Defined Offset;4;
State;ON;
Offset;1000000,0000000000;Hz
Spot Noise User Defined Offset;5;
State;ON;
Offset;10000000,0000000000;Hz
Spot Noise User Defined Offset;6;
State;ON;
Offset;100000000,0000000000;Hz
Window;1;Noise Spectrum;
Trace;1;
Trace Mode;CLR/WRITE;
Trace Result;PN;
Smoothing;ON;
Smoothing Value;1,0000000000;%
Spurious Removal;ON;
Spurious Removal Threshold;6,0000000000;dB
Trace Offset;OFF;
Trace Offset;0,0000000000;dB
Trace Label;OFF;
Trace Label;Trace 1;
x-Unit;Hz;
y-Unit;dBc/Hz;
Values;3523;
300,6075744629;-120,2088317871;
301,3006591797;-120,2701416016;
301,9951782227;-120,3326797485;
302,6913146973;-120,3326797485;
303,3891906738;-120,3326797485;
304,0885314941;-120,3326797485;
304,7894897461;-120,3326797485;
305,4920349121;-120,3326797485;
306,1963806152;-120,3326797485;
306,9021911621;-120,3326797485;
307,6096191406;-120,3326797485;
308,3188476563;-120,3326797485;
309,0295410156;-120,3326797485;
309,7418823242;-120,3326797485;
310,4560241699;-120,3326797485;
311,1716613770;-120,3326797485;
311,8889160156;-120,3326797485;
312,6078491211;-120,3326797485;
313,3286132813;-120,3326797485;
314,0508422852;-120,3326797485;
314,7747497559;-120,2571945190;
315,5005187988;-120,1373672485;
316,2277526855;-119,9737167358;
316,9566955566;-119,8100662231;
317,6874694824;-119,6463699341;
318,4197692871;-119,4827194214;
319,1537475586;-119,3658828735;
319,8895874023;-119,3197860718;
320,6269531250;-119,3197860718;
321,3660278320;-119,3197860718;
322,1068115234;-119,3197860718;
322,8494567871;-119,3197860718;
323,5936584473;-119,3197860718;
324,3395690918;-119,3197860718;
325,0873718262;-119,3197860718;
325,8367004395;-119,3197860718;
326,5877990723;-119,3197860718;
327,3407592773;-119,3197860718;
328,0953063965;-119,3197860718;
328,8515930176;-119,3197860718;
329,6096191406;-119,3197860718;
330,3695678711;-119,3197860718;
331,1311035156;-119,3197860718;
331,8943786621;-119,3197860718;
332,6596069336;-119,3197860718;
333,4264221191;-119,3397827148;
334,1949768066;-119,3597869873;
334,9655151367;-119,3797912598;
335,7376403809;-119,3997879028;
336,5115356445;-119,4197845459;
