Frequency;Raw_data
10;-67.541911
10.169492;-69.296345
10.32839;-69.41848
10.487288;-68.226998
10.646187;-67.38568
10.805085;-66.862695
10.963984;-66.706125
11.122882;-67.925922
11.28178;-69.797932
11.440679;-69.937634
11.599577;-70.746097
11.758475;-70.618698
11.917373;-70.847424
12.076271;-71.394297
12.235169;-70.401393
12.394068;-69.529678
12.552966;-69.800934
12.711864;-70.367263
12.870763;-69.763755
13.029661;-68.020143
13.18856;-68.837806
13.347458;-70.301312
13.506356;-71.067301
13.665255;-70.986353
13.824153;-71.468287
13.983051;-72.882465
14.14195;-73.37968
14.300848;-73.105045
14.459746;-71.486692
14.618645;-69.470247
14.777543;-69.626712
14.936441;-70.98158
15.09534;-71.788947
15.254238;-72.010064
15.413136;-70.019638
15.572034;-68.712778
15.730932;-69.316191
15.889831;-69.238932
16.048729;-64.896235
16.207628;-63.718138
16.366526;-65.72037
16.525425;-63.808164
16.684322;-63.088854
16.843222;-66.785047
17.002119;-66.078827
17.161016;-63.570685
17.319916;-65.366556
17.478813;-68.052042
17.637712;-68.128847
17.79661;-69.259851
17.955509;-70.219518
18.114407;-69.461257
18.273306;-69.6506
18.432203;-71.41974
18.591103;-72.682597
18.75;-72.948867
18.908899;-71.026504
19.067797;-68.755729
19.226696;-67.813491
19.385593;-70.161705
19.544493;-74.558235
19.70339;-76.674928
19.862289;-75.292706
20.021187;-72.057326
20.180086;-70.938692
20.338984;-70.304926
20.497881;-69.92539
20.65678;-70.121864
20.815678;-69.485732
20.974577;-67.371007
21.133474;-68.374945
21.292374;-71.606338
21.451271;-73.993701
21.61017;-72.741661
21.769068;-73.07738
21.927967;-75.0475
22.086864;-72.642017
22.245764;-70.304136
22.404661;-70.958796
22.56356;-74.190014
22.722458;-72.828633
22.881357;-70.890582
23.040255;-70.462968
23.199154;-70.911798
23.358051;-73.174356
23.516951;-74.270738
23.675848;-75.222175
23.834745;-76.374828
23.993645;-72.905429
24.152542;-71.217652
24.311441;-72.349186
24.470339;-72.390544
24.629238;-72.168059
24.788136;-73.603908
24.947035;-75.451603
25.105932;-74.889024
25.264832;-74.264342
25.423729;-72.374245
25.582628;-72.365513
25.741526;-74.015672
25.900425;-74.544108
26.059322;-76.20698
26.218222;-75.238055
26.377119;-73.531876
26.536018;-73.449432
26.694916;-74.067564
26.853815;-74.961621
27.012712;-74.08191
27.17161;-71.759184
27.330509;-72.126691
27.489407;-72.998935
27.648306;-72.951532
27.807203;-71.917816
27.966103;-72.47402
28.125;-74.28382
28.283899;-73.985849
28.442797;-74.008081
28.601696;-74.191742
28.760593;-74.270914
28.919493;-74.378935
29.07839;-74.487476
29.237289;-74.567643
29.396187;-74.620861
29.555086;-74.666567
29.713984;-74.721952
29.872883;-74.800277
30;-75.349889
30.190678;-75.899501
30.720339;-74.020783
31.249998;-72.54979
31.779659;-72.304347
32.309322;-71.688201
32.838982;-72.34943
33.368645;-74.508727
33.898304;-75.011972
34.427963;-73.477292
34.957626;-72.423005
35.487286;-72.084946
36.016949;-73.330589
36.546608;-73.551097
37.076271;-73.675265
37.60593;-74.797283
38.135593;-74.848764
38.665253;-74.363593
39.194916;-74.718914
39.724575;-74.597145
40.254234;-74.081384
40.783897;-73.778462
41.313557;-73.704348
41.84322;-74.102311
42.372879;-74.437815
42.902542;-74.645921
43.432201;-74.255818
43.961864;-74.006548
44.491524;-74.391063
45.021187;-74.969566
45.550846;-75.729563
46.080505;-75.405138
46.610168;-75.164715
47.139828;-75.213726
47.669491;-74.812041
48.19915;-74.350874
48.728813;-74.31961
49.258472;-73.805566
49.788136;-74.323535
50.317795;-75.075171
50.847458;-75.431146
51.377117;-76.101722
51.906776;-75.478476
52.43644;-74.510653
52.966099;-74.770478
53.495762;-75.051482
54.025421;-75.366186
54.555084;-75.356742
55.084743;-75.165453
55.614407;-75.194814
56.144066;-72.712235
56.673725;-76.003578
57.203388;-76.175516
57.733047;-74.682151
58.262711;-74.834686
58.79237;-75.487481
59.322033;-77.334232
59.851692;-76.602752
60.381355;-76.196109
60.911015;-77.0426
61.440678;-78.029112
61.970337;-76.955625
62.499996;-75.677587
63.029659;-75.713445
63.559319;-76.51169
64.088982;-76.654094
64.618645;-77.054328
65.1483;-77.086777
65.677963;-77.277817
66.207626;-76.935063
66.737289;-75.802609
67.266945;-75.77619
67.796608;-75.499985
68.326271;-75.137746
68.855927;-76.181237
69.38559;-76.374593
69.915253;-76.179244
70.444916;-76.561577
70.974571;-76.849132
71.504234;-77.103756
72.033897;-76.922988
72.56356;-76.321572
73.093216;-76.469827
73.622879;-78.04509
74.152542;-78.726514
74.682198;-77.910489
75.211861;-77.190733
75.741524;-76.587235
76.271187;-76.571585
76.800842;-77.304172
77.330505;-77.20801
77.860168;-77.511722
78.389832;-78.110961
78.919487;-78.352193
79.44915;-78.145892
79.978813;-77.461453
80.508469;-77.59777
81.038132;-77.188503
81.567795;-76.817113
82.097458;-76.717214
82.627113;-75.176892
83.156776;-73.211929
83.68644;-74.22417
84.216103;-77.346452
84.745758;-78.861534
85.275421;-78.998914
85.805084;-79.577901
86.33474;-79.372667
86.864403;-79.158113
87.394066;-79.935371
87.923729;-79.477294
88.453384;-77.807537
88.983047;-77.949469
89.512711;-79.309026
90.042374;-79.508666
90.572029;-79.705411
91.101692;-78.822491
91.631355;-78.105509
92.161011;-79.034958
92.690674;-80.465265
93.220337;-81.195892
93.75;-81.1113
94.279655;-79.820557
94.809319;-77.266002
95.338982;-76.483698
95.868645;-76.662977
96.3983;-76.746869
96.927963;-76.80041
97.457626;-76.778593
97.987282;-76.642277
98.516945;-76.443604
99.046608;-76.263252
99.576271;-76.143481
100;-76.280738
100.105934;-76.417995
101.694916;-78.101416
103.283897;-79.979994
104.872879;-80.501738
106.461868;-80.398802
108.05085;-80.995816
109.639832;-80.633033
111.228813;-80.032658
112.817795;-80.331499
114.406784;-80.603308
115.995766;-80.026086
117.584747;-79.636162
119.173729;-80.345359
120.762711;-81.416608
122.351692;-81.42435
123.940681;-80.528186
125.529663;-79.844487
127.118645;-80.528168
128.707626;-81.575976
130.296616;-81.898746
131.88559;-81.819942
133.474579;-81.595017
135.063553;-81.828819
136.652542;-82.238089
138.241531;-81.833587
139.830505;-81.576197
141.419495;-81.662899
143.008469;-81.923192
144.597458;-82.518486
146.186447;-82.426425
147.775421;-80.177308
149.36441;-81.707735
150.953384;-81.182018
152.542374;-80.710858
154.131363;-82.590888
155.720337;-81.762226
157.309326;-80.653442
158.8983;-81.039246
160.487289;-81.463862
162.076279;-81.722048
163.665253;-82.02104
165.254242;-81.983783
166.843216;-81.852502
168.432205;-80.27079
170.021194;-79.065087
171.610168;-80.389629
173.199158;-77.783597
174.788132;-77.860805
176.377121;-77.937274
177.966095;-78.013018
179.555084;-78.08805
181.144073;-78.162381
182.733047;-77.916386
184.322037;-76.584245
185.911011;-78.673619
187.5;-80.18594
189.088989;-80.866853
190.677963;-82.114686
192.266953;-80.471057
193.855927;-77.097725
195.444916;-79.094037
197.033905;-80.043312
198.622879;-80.624042
200.211868;-80.690816
201.800842;-80.243642
203.389832;-80.822671
204.978821;-80.37439
206.567795;-81.168511
208.156784;-82.191303
209.745758;-82.600254
211.334747;-81.783106
212.923737;-79.744075
214.512711;-77.776957
216.1017;-76.847825
217.690674;-78.027547
219.279663;-80.103467
220.868652;-79.960033
222.457626;-78.663133
224.046616;-78.997601
225.63559;-80.283801
227.224579;-80.278627
228.813568;-80.204465
230.402542;-80.289925
231.991531;-79.593919
233.580505;-79.114998
235.169495;-79.711652
236.758469;-80.240199
238.347458;-80.917893
239.936447;-81.323254
241.525421;-80.69274
243.11441;-79.872652
244.703384;-79.068677
246.292374;-78.528073
247.881363;-77.656329
249.470337;-76.04288
251.059326;-76.431738
252.6483;-76.244696
254.237289;-77.386756
255.826279;-77.721277
257.415253;-78.312872
259.004242;-78.49555
260.593231;-79.035292
262.18219;-78.480257
263.771179;-77.635072
265.360168;-77.761941
266.949158;-76.964153
268.538147;-76.225122
270.127106;-76.395807
271.716095;-76.842195
273.305084;-76.622523
274.894073;-76.565274
276.483063;-76.220627
278.072021;-75.261256
279.661011;-74.282525
281.25;-74.240278
282.838989;-74.176167
284.427979;-74.17863
286.016937;-74.223551
287.605927;-74.165595
289.194916;-74.071885
290.783905;-73.9185
292.372894;-73.721267
293.961853;-73.515333
295.550842;-73.342944
297.139832;-73.230316
298.728821;-73.181128
300;-70.19128
301.906799;-67.201433
307.2034;-70.346137
312.5;-65.489709
317.796631;-66.454403
323.093231;-70.297204
328.389832;-74.534309
333.686462;-75.02035
338.983063;-72.915826
344.279663;-76.167592
349.576294;-73.036744
354.872894;-72.955409
360.169495;-71.937529
365.466125;-76.985386
370.762726;-76.843248
376.059326;-77.252814
381.355957;-76.764016
386.652557;-75.509918
391.949158;-80.257101
397.245789;-76.677239
402.542389;-76.798516
407.838989;-81.27525
413.13562;-83.066302
418.43222;-83.195929
423.728821;-86.086902
429.025452;-86.995995
434.322052;-86.115114
439.618652;-87.43229
444.915283;-87.652063
450.211884;-88.259298
455.508484;-90.195915
460.805115;-90.535471
466.101715;-89.684941
471.398315;-90.269385
476.694946;-89.269571
481.991547;-87.696745
487.288147;-85.293941
492.584778;-90.422248
497.881378;-88.522535
503.177979;-89.175586
508.474609;-90.549748
513.771179;-87.228882
519.06781;-88.482524
524.364441;-91.180837
529.661011;-91.794872
534.957642;-92.299098
540.254272;-93.591933
545.550842;-92.14858
550.847473;-91.66598
556.144104;-93.582983
561.440674;-94.722738
566.737305;-94.924415
572.033936;-95.626137
577.330505;-92.908168
582.627136;-89.632752
587.923767;-87.903484
593.220337;-90.666003
598.516968;-88.403924
603.813599;-90.157986
609.110168;-94.06288
614.406799;-91.261053
619.70343;-91.425291
625;-93.512877
630.296631;-92.351804
635.593262;-94.004518
640.889832;-84.542191
646.186462;-84.593378
651.483093;-84.64391
656.779663;-84.693798
662.076294;-84.743052
667.372925;-84.791683
672.669495;-84.8397
677.966125;-84.887116
683.262756;-89.536854
688.559326;-85.641814
693.855957;-96.066995
699.152588;-95.839781
704.449158;-97.020416
709.745789;-99.326366
715.042419;-98.429676
720.338989;-97.788371
725.63562;-95.88452
730.932251;-95.315344
736.228821;-97.062483
741.525452;-99.404779
746.822083;-99.027373
752.118652;-98.848805
